t_fs,rho10_abs,rho20_abs,rho12_abs,rho22_pop
4.080000000000000000e+02,7.405989018927441325e-01,2.672984937179195830e-01,3.120189654371809951e-01,1.302647450193391288e-01
4.100000000000000000e+02,7.395095129362000419e-01,2.655752939186002970e-01,3.102426401585102744e-01,1.289697357114013287e-01
4.120000000000000000e+02,7.384217264236989653e-01,2.638632031139749312e-01,3.084764275070999706e-01,1.276876005629868638e-01
4.140000000000000000e+02,7.373355399981150748e-01,2.621621496874128598e-01,3.067202699117206888e-01,1.264182115873836720e-01
4.160000000000000000e+02,7.362509513057896582e-01,2.604720624839765852e-01,3.049741101288962475e-01,1.251614420702421848e-01
4.180000000000000000e+02,7.351679579965263445e-01,2.587928708074446749e-01,3.032378912410378935e-01,1.239171665569264585e-01
4.200000000000000000e+02,7.340865577235854422e-01,2.571245044173547378e-01,3.015115566545888415e-01,1.226852608399907479e-01
4.220000000000000000e+02,7.330067481436794985e-01,2.554668935260654972e-01,2.997950500981797495e-01,1.214656019467807851e-01
4.240000000000000000e+02,7.319285269169679697e-01,2.538199687958371253e-01,2.980883156207944085e-01,1.202580681271583352e-01
4.260000000000000000e+02,7.308518917070517817e-01,2.521836613359313972e-01,2.963912975899459235e-01,1.190625388413475982e-01
4.280000000000000000e+02,7.297768401809689998e-01,2.505579026997294956e-01,2.947039406898633862e-01,1.178788947479027238e-01
4.300000000000000000e+02,7.287033700091890553e-01,2.489426248818692178e-01,2.930261899196889286e-01,1.167070176917944790e-01
4.320000000000000000e+02,7.276314788656081944e-01,2.473377603154001403e-01,2.913579905916846013e-01,1.155467906926160304e-01
4.340000000000000000e+02,7.265611644275443703e-01,2.457432418689574349e-01,2.896992883294501331e-01,1.143980979329052988e-01
4.360000000000000000e+02,7.254924243757316926e-01,2.441590028439537263e-01,2.880500290661502372e-01,1.132608247465838741e-01
4.380000000000000000e+02,7.244252563943163192e-01,2.425849769717889071e-01,2.864101590427524102e-01,1.121348576075105880e-01
4.400000000000000000e+02,7.233596581708504614e-01,2.410210984110784938e-01,2.847796248062745561e-01,1.110200841181490095e-01
4.420000000000000000e+02,7.222956273962882756e-01,2.394673017448990804e-01,2.831583732080424354e-01,1.099163929983475868e-01
4.440000000000000000e+02,7.212331617649800908e-01,2.379235219780524158e-01,2.815463514019577729e-01,1.088236740742313524e-01
4.460000000000000000e+02,7.201722589746678560e-01,2.363896945343460509e-01,2.799435068427750806e-01,1.077418182672039287e-01
4.480000000000000000e+02,7.191129167264801447e-01,2.348657552538928606e-01,2.783497872843892496e-01,1.066707175830590576e-01
4.500000000000000000e+02,7.180551327249268256e-01,2.333516403904264680e-01,2.767651407781324679e-01,1.056102651012002375e-01
4.520000000000000000e+02,7.169989046778946218e-01,2.318472866086354889e-01,2.751895156710809642e-01,1.045603549639675667e-01
4.540000000000000000e+02,7.159442302966416705e-01,2.303526309815135120e-01,2.736228606043712430e-01,1.035208823660707517e-01
4.560000000000000000e+02,7.148911072957927493e-01,2.288676109877274545e-01,2.720651245115259798e-01,1.024917435441270869e-01
